POLE1,POLE2
2179,2875
2180,2813
2180,2876
2181,2777
2181,2864
2182,2833
2182,2867
2183,2731
2183,2776
2184,2797
2184,2856
2185,2794
2185,2817
2186,2726
2186,2773
2187,2786
2187,2838
2188,2771
2188,2878
2189,2721
2189,2763
2190,2722
2191,2646
2191,2674
2192,2673
2192,2678
2193,2662
2193,2692
2194,2659
2194,2661
2195,2652
2195,2660
2196,2654
2196,2690
2197,2677
2197,2708
2198,3522
2198,3532
2198,3561
2199,3516
2199,3524
2199,3581
2200,3543
2200,3570
2200,3582
2201,3526
2201,3527
2201,3569
2202,3518
2202,3544
2203,3542
2203,3579
2204,3521
2204,3566
2205,437
2205,446
2205,526
2206,313
2206,463
2206,572
2207,86
2207,127
2207,252
2207,347
2208,90
2208,130
2208,281
2208,364
2209,400
2209,454
2209,530
2210,104
2210,250
2210,302
2210,372
2211,114
2211,117
2211,471
2212,131
2212,134
2212,211
2213,147
2213,235
2213,266
2213,385
2214,449
2214,457
2214,532
2215,139
2215,231
2215,327
2215,388
2216,138
2216,151
2216,267
2216,392
2217,447
2217,469
2217,534
2218,498
2218,515
2218,559
2219,261
2219,472
2219,555
2220,162
2220,187
2220,221
2220,435
2221,143
2221,206
2221,279
2221,397
2222,239
2222,408
2222,531
2223,251
2223,433
2223,519
2224,293
2224,468
2224,518
2225,474
2225,486
2225,549
2226,190
2226,205
2226,306
2226,398
2227,399
2227,507
2227,524
2228,169
2228,265
2228,366
2229,161
2229,183
2229,311
2230,170
2230,188
2230,377
2231,189
2231,319
2231,322
2232,171
2232,336
2232,337
2232,412
2233,124
2233,475
2233,505
2234,284
2234,459
2234,539
2235,52
2235,73
2236,36
2236,44
2237,62
2237,74
2238,49
2238,57
2239,38
2239,41
2240,60
2240,72
2241,39
2241,45
2241,68
2242,873
2243,842
2243,866
2244,841
2244,848
2245,871
2246,836
2246,867
2247,838
2247,874
2248,855
2248,868
2249,844
2250,837
2251,891
2251,897
2252,898
2252,899
2253,882
2253,906
2254,920
2255,903
2256,901
2256,916
2257,884
2257,925
2258,908
2258,912
2259,3
2260,1
2260,5
2261,4
2261,6
2262,17
2262,18
2262,24
2262,27
2262,34
2263,21
2263,22
2263,32
2264,19
2264,23
2264,26
2264,28
2265,20
2265,29
2265,30
2265,31
2266,944
2266,975
2266,978
2267,937
2267,969
2267,1019
2268,926
2268,961
2268,989
2268,1007
2269,943
2269,973
2269,985
2269,1002
2270,998
2270,1011
2270,1014
2270,1016
2271,967
2271,984
2271,1001
2272,955
2272,957
2272,991
2273,949
2273,958
2273,993
2274,982
2274,995
2274,1024
2275,1030
2275,1080
2276,1048
2276,1049
2277,1039
2277,1046
2278,1034
2278,1083
2279,1065
2279,1068
2280,1027
2280,1055
2280,1074
2281,1037
2281,1071
2282,1033
2282,1054
2283,1036
2283,1050
2283,1066
2284,1718
2284,2163
2284,2182
2284,2196
2284,2207
2284,2240
2285,1719
2285,1722
2285,2165
2285,2188
2285,2221
2285,2233
2286,1716
2286,2167
2286,2178
2286,2214
2286,2237
2286,2238
2287,2155
2287,2161
2287,2185
2287,2206
2287,2216
2288,1721
2288,2162
2288,2168
2288,2197
2288,2212
2288,2230
2289,2156
2289,2194
2289,2205
2289,2231
2289,2242
2289,2245
2290,1717
2290,2157
2290,2158
2290,2193
2290,2225
2290,2232
2291,2147
2291,2169
2291,2173
2291,2187
2291,2204
2291,2222
2292,1724
2292,2149
2292,2152
2292,2175
2292,2195
2292,2209
2293,1723
2293,2177
2293,2184
2293,2198
2293,2229
2293,2241
2294,1720
2294,2160
2294,2164
2294,2179
2294,2211
2295,1096
2295,1101
2295,1123
2295,1206
2295,1241
2296,1109
2296,1146
2296,1159
2296,1170
2296,1195
2297,1095
2297,1113
2297,1179
2297,1199
2298,1088
2298,1143
2298,1161
2298,1200
2298,1234
2299,1106
2299,1111
2299,1144
2299,1188
2299,1205
2300,1117
2300,1166
2300,1178
2300,1232
2300,1239
2301,1119
2301,1124
2301,1153
2301,1212
2301,1219
2302,1142
2302,1145
2302,1184
2302,1237
